<<<<<<< HEAD
Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
white dice.jpg,7,22.631,3.233,18.075,7.060,0.805,0.993
=======
Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
white dice.jpg,7,22.631,3.233,18.075,7.060,0.805,0.993
>>>>>>> 78aa40b7dd4c1d8a81264336fcbc07efed0f1767
