 ,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,4.268,4.088,1.350,4.088,1.350,7.929,2.999,0.150,2.200,2.397,0.853,1.063,0.941,0.995
2,3.043,7.846,1.694,7.846,1.694,6.881,6.759,0.696,2.217,1.957,0.808,1.237,0.809,0.991
3,2.058,5.978,4.047,5.978,4.047,6.337,4.977,2.910,1.995,1.777,0.644,1.001,0.999,0.990
4,2.920,9.252,5.074,9.252,5.074,6.667,8.182,4.221,2.094,1.735,0.825,1.250,0.800,0.991
5,3.699,1.676,5.546,1.676,5.546,7.251,0.590,4.490,2.162,2.132,0.884,1.023,0.978,0.996
6,3.222,5.255,7.261,5.255,7.261,6.949,4.119,6.242,2.183,2.132,0.839,1.028,0.973,0.991
7,3.420,9.243,9.323,9.243,9.323,7.405,8.182,8.280,2.132,2.089,0.784,1.106,0.904,0.995
