,area,ave_r,ave_g,ave_b
0,5106.0,102.86466901684292,110.24774774774775,41.8213866039953
1,5147.0,101.541869049932,111.15173887701573,42.30950068000777
2,5152.0,102.8200698757764,109.74514751552795,42.40625
3,5153.0,103.18901610712207,108.86939646807684,42.861633999611875
4,5168.0,101.00696594427245,111.61996904024768,42.36842105263158
5,5173.0,101.93910690121787,108.88652619369805,44.151942779818285
6,5181.0,102.12352827639452,109.54603358425014,43.20131248793669
7,5180.0,102.19362934362934,109.11003861003861,43.51949806949807
8,5183.0,102.14258151649624,109.48813428516303,43.33590584603512
9,5176.0,100.93759659969088,111.00734157650696,43.04211746522411
10,5182.0,102.08954071786955,109.81609417213431,42.96256271709765
11,5136.0,103.03660436137072,108.70327102803738,43.13084112149533
12,5182.0,102.07082207641837,109.56175221922038,43.28174450019298
13,5188.0,102.0674633770239,110.04240555127217,42.756553585196606
14,5171.0,102.58499323148327,109.72094372461807,42.65712628118352
15,5181.0,100.3053464582127,112.70855047288168,41.96641574985524
16,5186.0,104.9525645969919,106.2635942923255,43.52333204782106
17,5166.0,102.08188153310104,110.25822686798297,42.52574525745258
18,5171.0,101.51208663701412,110.09591955134404,43.322568168632756
19,5166.0,101.42450638792103,110.82191250483933,42.61904761904762
20,5159.0,101.92052723396007,109.77844543516186,43.06571040899399
21,5155.0,103.55965082444229,107.86285160038797,43.31464597478177
22,5135.0,102.84849074975658,108.99259980525804,43.02979552093476
23,5154.0,100.27745440434614,112.57508731082655,42.1325184322856
24,5159.0,101.78910641597209,110.54060864508625,42.53731343283582
25,5161.0,102.04398372408448,109.90970742104243,42.95814764580508
26,5149.0,101.59798019032822,110.54534861138085,42.765391338123905
27,5153.0,100.24587618862799,112.08771589365418,42.644673006015914
28,5149.0,100.22373276364343,112.73062730627306,42.026801320644786
29,5142.0,100.15266433294438,111.92921042395955,42.856281602489304
30,5145.0,101.92361516034985,110.73819241982507,42.29601554907677
31,5143.0,100.99922224382657,110.27882558817811,43.641065525957615
32,5132.0,101.10931410756041,111.3780202650039,42.38016367887763
33,5131.0,101.69031377899044,110.92262716819333,42.388033521730655
34,5137.0,101.53104925053533,110.61144636947635,42.822075141132956
35,5140.0,101.21614785992217,111.33618677042801,42.41108949416343
