,area,eccentricity,ave_r,ave_g,ave_b
0,3610.0,0.8983267523435742,118.7590027700831,100.02271468144045,59.413296398891966
1,3817.0,0.892547577049179,140.08173958606235,123.08776526067592,69.469478648153
2,4234.0,0.787855735465104,125.55148795465281,95.45512517713746,33.99669343410486
3,3520.0,0.9193702713126943,118.77357954545455,89.72102272727273,46.496022727272724
4,3623.0,0.9016228345166853,107.89704664642561,94.75959149875794,52.32680099365167
5,3196.0,0.933591251096082,119.1229662077597,92.8814142678348,55.119211514392994
6,2976.0,0.9474090259051798,114.67237903225806,90.06518817204301,50.25100806451613
7,4237.0,0.7069829998944105,151.55109747462828,116.52938399811187,35.11021949492565
8,4239.0,0.8743988766924894,126.034677990092,91.21137060627507,59.93253125737202
9,4247.0,0.8024587844491804,120.64469036967272,96.60748763833294,44.699317165057685
10,3859.0,0.8980978036750846,116.68903861103912,87.1062451412283,57.551438196423945
11,3489.0,0.9040935090467933,116.38664373746059,95.83748925193466,56.67985096016051
12,3585.0,0.8981209436202746,122.69651324965133,96.95425383542538,51.4931659693166
13,4195.0,0.8716580919726236,118.42336114421931,83.08033373063171,59.88128724672229
14,2997.0,0.9262011744465054,106.30797464130798,90.84718051384718,57.849849849849846
15,3881.0,0.8808442964876031,121.86421025508889,96.3697500644164,48.92295800051533
16,2744.0,0.9500503129931388,117.02077259475219,98.52514577259475,57.93622448979592
17,4245.0,0.8496236955290406,144.60141342756182,110.95147232037691,46.28716136631331
18,2790.0,0.9523467807236303,120.77956989247312,97.92186379928316,46.41254480286738
19,4244.0,0.8109274550871891,147.84896324222433,113.82940622054666,49.151979264844485
20,4247.0,0.7236003447216391,126.83046856604662,93.27407581822463,34.88839180598069
21,3026.0,0.9437571185231864,108.54329147389292,85.05816259087905,61.40118968935889
22,2796.0,0.9535012549610253,125.02432045779685,96.84549356223177,53.12660944206009
23,3367.0,0.934331074060003,115.22898722898722,90.69141669141669,49.05643005643006
24,4242.0,0.7091418132533516,129.71829325789722,95.18576143328619,44.784064120697785
25,4037.0,0.898172073431159,114.55660143671042,90.4998761456527,60.832548922467176
26,4234.0,0.8325452582012627,116.25129900803023,97.61525743977326,41.123051487954655
27,4245.0,0.842354430995031,129.30859835100117,100.17926972909305,32.83792697290931
28,3765.0,0.8753995811655392,145.76626826029215,128.9577689243028,61.24249667994688
29,4133.0,0.666487300938821,122.1066445968314,77.10215180893829,55.780326318278554
30,4250.0,0.8101155836177701,130.4684705882353,84.9644705882353,56.20329411764706
31,4230.0,0.7360135091518769,114.52718676122932,88.26312056737589,52.20472813238771
32,2491.0,0.9613998578245054,123.02890405459655,104.62063428342032,52.962665596146124
33,2827.0,0.9535380539665386,126.33604527767952,97.55712769720552,49.533427661832334
34,4084.0,0.8876002576781663,128.9407443682664,95.59476003917727,57.796278158667974
35,2942.0,0.9480425934352583,115.92420122365738,92.29231815091774,46.77192386131883
36,4233.0,0.6957585545163515,121.70611859201512,93.50696905268131,39.77368296716277
37,3621.0,0.9136713205394364,113.92709196354598,84.35956917978459,56.70864402098868
38,2759.0,0.9548268820283323,140.98332729249728,110.1678144255165,53.11453425154041
39,2780.0,0.9549204104141712,118.75359712230215,98.49640287769785,50.40251798561151
40,2844.0,0.9520585117830624,113.76195499296765,94.46167369901548,46.74753867791843
41,4247.0,0.8217160410193182,122.35342594772781,96.99152342830233,35.64233576642336
42,4088.0,0.8785406369972192,114.8167808219178,96.00415851272015,56.209882583170256
43,4164.0,0.870269694783641,118.82348703170028,92.77137367915466,43.40730067243035
44,2809.0,0.952460800612031,121.54111783552865,99.51370594517621,49.4627981488074
45,3310.0,0.9155966909665327,121.51027190332326,107.45166163141994,60.306042296072505
46,3046.0,0.924439704860929,105.72718319107025,89.66414970453053,59.570584372948126
47,2732.0,0.9556540141937298,120.12737920937043,95.56515373352855,55.35212298682284
48,2948.0,0.9482007947830513,143.28358208955223,119.58208955223881,65.14518317503392
49,2915.0,0.9408132000116752,106.18786424408638,90.22797394583476,58.582104902296884
50,3397.0,0.9072970849120029,110.93847512511039,89.42390344421548,54.62408007065057
51,4249.0,0.8462937080135876,121.2504118616145,87.57095787244057,46.189220993174864
52,4245.0,0.5277832429141409,116.96442873969376,84.66643109540637,53.35547703180212
53,4059.0,0.8430244011386048,108.74451835427445,87.7179108154718,58.5439763488544
54,3551.0,0.9020596259012265,109.9515629400169,93.85497043086454,51.19543790481554
55,3394.0,0.912252944920803,128.00736593989393,111.63140836770772,64.04773129051267
56,2898.0,0.9510373277609941,124.2815734989648,99.36783988957902,59.481021394064875
57,3520.0,0.9071086477884955,118.8153409090909,95.70823863636363,53.439204545454544
58,4154.0,0.8504505325395462,123.05103514684642,84.75710158883004,47.18777082330284
59,3992.0,0.870440800156414,101.54982473710565,85.44641962944416,67.99899849774663
60,4068.0,0.8732397932178894,127.99262536873157,96.38053097345133,57.73254670599803
61,3352.0,0.9082937632161773,107.62738663484487,93.25119331742243,54.130071599045344
62,3557.0,0.9018920326528832,115.90525723924655,92.75007028394715,52.73067191453472
63,3087.0,0.9218278465961818,107.48266925817946,92.95594428247489,54.55685131195335
