,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,perimeter,eccentricity,orientation,axis_major_length,axis_minor_length
0,0.11549322271566055,88.2864077669903,165.60436893203882,79,141,99,191,1.4367246139620446,0.9245540841624776,1.4972386896225196,0.624556279941471,0.23798769738852377
1,0.08129377327073194,93.19310344827586,1086.3982758620689,83,1068,104,1106,1.1693317200674878,0.8963194870447686,-1.3851684704305356,0.4860384169351365,0.2155137184560855
2,0.09811317463709027,102.65285714285714,346.7528571428571,87,326,118,368,1.3551859206574837,0.9264843434869965,-1.0510633006163161,0.5791182921493149,0.21794150458008027
3,0.04625335375748541,106.5,1195.5,96,1184,118,1208,0.8337775083408783,0.8287799030766481,-0.9792484747052697,0.3251534537406062,0.18194765428463336
4,0.11325063586681276,113.01732673267327,246.99381188118812,104,222,123,273,1.4436597335866725,0.933508446752721,-1.5325227129762224,0.6372304523615715,0.22848242415698763
5,0.09741236624682534,136.7136690647482,1155.6028776978417,120,1136,155,1176,1.3470609226186294,0.9311874526286296,0.916270642262695,0.5851103018606537,0.21329652392136975
6,0.12460373178910464,147.75140607424072,939.9583802024747,126,921,169,962,1.4977466613087382,0.9247446047523268,0.7902300892543193,0.6488961607918383,0.24696225421923373
7,0.12348243836468076,152.5017026106697,1119.7128263337117,128,1107,178,1134,1.4915085563215889,0.9117876819343533,0.29146105558788626,0.6216840865835513,0.2553019886038645
8,0.11170885740822992,157.47427854454205,405.8469259723965,131,396,185,417,1.5065686739850714,0.9472393823254635,-0.16439677194405347,0.6690886496598376,0.21446097222665236
9,0.10596222860805748,161.23280423280423,289.0079365079365,143,272,182,309,1.3568686628484579,0.9168371661248738,-0.7922056009926707,0.585141143557077,0.23362423207807742
10,0.10694336035442839,152.88859764089122,569.956749672346,143,547,164,594,1.37549841575462,0.9185299120225874,1.4337957319437227,0.589682451157318,0.23313183574750085
11,0.10554174357389853,162.57636122177954,139.03718459495352,150,117,177,162,1.380053778550795,0.9171301404466342,1.2158756420113723,0.5835637416653664,0.23260144005341066
12,0.08858218052948721,171.14240506329114,464.36867088607596,153,449,191,482,1.2592841243269195,0.9247152252366906,-0.7166838340248749,0.5469476738367532,0.20820089793341595
13,0.10021559980788507,180.73006993006993,881.3608391608392,157,872,206,892,1.3853061559844484,0.9341334460280445,0.13997016686793565,0.6006754603283835,0.2143954570665696
14,0.1240430850768927,188.9774011299435,345.95028248587573,163,334,215,358,1.5025061749656443,0.9208736474395663,-0.20288938478484256,0.6395757857883215,0.24934575888304422
15,0.11577354607176651,195.83535108958839,654.3983050847457,169,645,223,665,1.5036960533798707,0.9415154563114776,-0.11024168109048786,0.664494081215802,0.22391443707122802
16,0.10371964175920971,201.32162162162163,596.7756756756756,177,587,226,608,1.3881787765896492,0.9256927749415027,-0.13145623586227903,0.5941402198427008,0.2247491069339265
17,0.10498109686168659,188.69425901201603,966.6435246995994,177,945,201,990,1.3575656774859368,0.9104426902417562,1.3362414810660495,0.5710524881408849,0.23620743023430837
