,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,perimeter,eccentricity,orientation,axis_major_length,axis_minor_length
0,4.625905710364199,129.5243229256512,146.32943764015872,44,60,216,233,8.05447635645469,0.16928504126372199,1.0175413184779727,2.4446454576184333,2.4093622162983097
1,3.1618069520252803,201.94895577008012,565.8739352640545,131,495,273,638,6.620896205564036,0.03877034311011897,1.0877342520270497,2.0072015022071756,2.005692382953607
2,3.132082096460149,298.9952229299363,907.8234394904458,229,837,371,980,6.612622385823543,0.10900379374284042,-1.0480489259397237,2.002968121110937,1.9910331023121361
3,1.9510677008522455,310.49877300613497,487.9444785276074,255,432,367,545,5.207290822503511,0.1304192968209565,1.5455388286944145,1.5829280316595826,1.5694081302531147
4,2.0139088384563824,328.96265477959383,249.54234769687963,273,193,386,307,5.2720618173852465,0.15985887048558642,1.2890560664669557,1.611724445243615,1.5909974745244078
5,2.1938539372466406,362.13849231608623,761.7492952623443,304,703,422,821,5.484930006818375,0.07833968017311452,-1.1676492950329798,1.6739090058281734,1.6687646227010884
6,5.513262472469597,500.52572731220147,474.7370820668693,407,381,595,569,8.753005228244461,0.0962495343682574,-1.550556283604953,2.6556583664532747,2.643328771228233
7,3.1871429027418685,565.2533174762143,170.36385828743116,495,100,637,243,6.6291700253045285,0.1294275341194862,-1.5067820802305776,2.023010719191068,2.0059949398727546
8,7.005889112324045,611.126601742696,849.267042542286,506,744,717,956,9.857295711070359,0.09741157186796087,1.1342281127741405,2.9938240091725725,2.97958593286866
9,3.1270947045868045,727.6205422647528,448.2377671451356,658,378,799,520,6.5809466699037795,0.13625640585599344,-1.3442259279155466,2.004765963620964,1.9860687245837847
10,2.0129113600817132,758.7511397423191,149.3392467789891,703,93,816,207,5.2720618173852465,0.16660332363288577,-1.0747018144127725,1.6122316959401068,1.5896991490102184
11,4.924949727089917,808.1589500546846,652.2346579171224,720,564,898,741,8.26734454588782,0.09147253316234377,-0.10444585985763001,2.5094044404206506,2.4988840125631104
12,4.053951610329088,896.4199104374785,894.9672260223414,816,815,978,976,7.495770859475821,0.13358062065054532,0.5506484221081746,2.2821941908760643,2.2617410517903136
13,3.1811580324938555,904.088486140725,196.24764831305657,833,125,976,268,6.640870973394165,0.16464227786229,-0.8367317640021761,2.026448534668757,1.998794289765284
